Map Name,Marker Identity,Cropped Image Name,Crop Box Coordinate 1,Crop Box Coordinate 2,Flower Species,Species Number,Number of flowers ,Area of plant (m^2),Density,Notes
Research_May15Marked,S2P3,Research_May15Marked,,,Acmispon glaber,1,,,,
Research_May15Marked,S2P4,Research_May15Marked,,,Acmispon glaber,1,,,,
Research_May15Marked,S3P1,Research_May15Marked,,,Penstemon spectabilis,2,,,,
Research_May15Marked,S3P2,Research_May15Marked,,,Penstemon spectabilis,2,,,,
Research_May15Marked,S3P3,Research_May15Marked,,,Penstemon spectabilis,2,,,,
Research_May15Marked,S3P4,Research_May15Marked,,,Penstemon spectabilis,2,,,,
Research_May15Marked,S4P1,Research_May15Marked,,,Salvia apiana,3,,,,
Research_May15Marked,S4P2,Research_May15Marked,,,Salvia apiana,3,,,,
Research_May15Marked,S4P3,Research_May15Marked,,,Salvia apiana,3,,,,
Research_May15Marked,S4P4,Research_May15Marked,,,Salvia apiana,3,,,,
,,,,,,,,,,
Research_May20Marked,S1P1,Research_May20Marked_S1P1,"15068, 7632","14889, 7829",Marrubium vulgare,,572.4,,,
Research_May20Marked,S1P2,Research_May20Marked_S1P2,,,Marrubium vulgare,,1884.8,,,
Research_May20Marked,S1P3,Research_May20Marked_S1P3,"14874, 9351","14583, 9630",Marrubium vulgare,,805,,,
Research_May20Marked,S1P4,Research_May20Marked_S1P4,,,Marrubium vulgare,,2640,,,
Research_May20Marked,S2P1,Research_May20Marked_S2P1,"15664, 4251","15419, 4640",Acmispon glaber,1,1380,,,It's unlikely patches 1 and 2 have the same number of flowers...?
Research_May20Marked,S2P2,Research_May20Marked_S2P2,"18734, 7460","18392, 7716",Acmispon glaber,1,1380,,,"See note above, less sure about this image "
Research_May20Marked,S2P3,Research_May20Marked_S2P3,"5704, 6014","5604, 6070",Acmispon glaber,1,94,,,
Research_May20Marked,S2P4,Research_May20Marked_S2P4,"19558, 8105","19417, 8224",Acmispon glaber,1,180,,,
Research_May20Marked,S3P1,Research_May20Marked_S3P1,,,Penstemon spectabilis,2,650,,,
Research_May20Marked,S3P2,Research_May20Marked_S3P2,,,Penstemon spectabilis,2,192,,,
Research_May20Marked,S3P3,Research_May20Marked_S3P3,"11339, 7319","11168, 7406",Penstemon spectabilis,2,144,,,
Research_May20Marked,S3P4,Research_May20Marked_S3P4,,,Penstemon spectabilis,2,780,,,
Research_May20Marked,S4P1,Research_May20Marked_S4P1,"19191, 8256","18737, 8619",Salvia apiana,,540,,,
Research_May20Marked,S4P2,Research_May20Marked_S4P2,"4509, 7197","4251, 7417",Salvia apiana,,600,,,
Research_May20Marked,S4P3,Research_May20Marked_S4P3,"18480, 6082","18274, 6192",Salvia apiana,,238,,,"Unsure of patch, marker box in covering plant"
Research_May20Marked,S4P4,Research_May20Marked_S4P4,"16427, 6723","16276, 6894",Salvia apiana,,127.5,,,Unsure of patch and patch no.
